Unnamed: 0,comments,Service
362,CIV 4-0 Burundi,Orange Money
363,4-0 pour la Côte d'Ivoire,Orange Money
364,Civ 3-1 Burundi,Orange Money
365,3-0 pour la Côte d’Ivoire,Orange Money
366,2-1 pour la côte d'ivoire,Orange Money
367,3-1 pour CIV,Orange Money
368,4-0 pour la Côte d’Ivoire,Orange Money
369,Côte-d’Ivoire 2-0 Burundi,Orange Money
370,Civ 5-0 burundi,Orange Money
371,2-0 pour côte d'Ivoire,Orange Money
372,"Nul première mis temps
Et victoire pour la Côte d’Ivoire ( 2-1)
Bon vendredi que Dieu facilite.",Orange Money
373,Victoire pour la côte d'ivoire 1 à 0 premier mi-temps et 1 à 0 deuxième mi-temps= 2 à 0 pour la côte d'ivoire en fin de match,Orange Money
374,Côte d’Ivoire 4-2 Burundi,Orange Money
375,1 but pour la Côte-d’Ivoire,Orange Money
376,4-2 victoire de la C.I,Orange Money
377,3-0 CI,Orange Money
378,2-0 pour la CIV,Orange Money
379,"La Côte d'Ivoire va perdre ce match
Côte d’Ivoire
0-2 Burundi",Orange Money
380,4 pour la CI,Orange Money
381,3#0 pour la CI,Orange Money
382,Priiiiiii !! C’est fini ! Rdv demain,Orange Money
383,Victoire côte d’ivoire 4-2,Orange Money
384,3 à 1 pour la côte d ivoire,Orange Money
385,2-0 pour la ci,Orange Money
386,2-0 en faveur de la côte d'ivoire.,Orange Money
387,"2_0
Pour la côté d'ivoire",Orange Money
388,Côte d'Ivoire 2 - 0 pour Burundi,Orange Money
389,1 _0 pour la côte d'Ivoire,Orange Money
390,7 - 0 pour la côte d'ivoire,Orange Money
391,3-1 pour la cote d'ivoire,Orange Money
392,1- 0 pour la côte d'ivoire,Orange Money
393,2-0 pour la Côte d’Ivoire,Orange Money
394,Côte d’Ivoire 5-1 Burundi,Orange Money
395,4-1 pour la côte d'Ivoire,Orange Money
396,"2 _0 après on va pas voir le résultat
Orange Money
depuis.le dernier jeux silence Radio j'ai pas aimer",Orange Money
397,5-2 pour la Cl,Orange Money
398,Civ 4-0 Burundi,Orange Money
399,Match nul,Orange Money
400,3-2en faveur de la CIV,Orange Money
401,un match nul 1 1 partout,Orange Money
402,2-0 pour la CI,Orange Money
403,3-1 pour les Ivoiriens,Orange Money
404,3 _0 pour la cote d'ivoire,Orange Money
405,Civ 4#Burundi 1,Orange Money
406,Ci 2 -1 Burundi,Orange Money
407,La Côte d’Ivoire va gagner 3 à 0 vs Burundi,Orange Money
408,3-1 en faveur des éléphants,Orange Money
409,3_0 pour Ci,Orange Money
410,3-1 pour la côte d'ivoire,Orange Money
411,3-1 pr la RCI,Orange Money
412,5a 0 pour la Côte d'Ivoire,Orange Money
413,Côte d’Ivoire 0-1 Burundi,Orange Money
414,1-0 pour la Côte d’Ivoire,Orange Money
415,2-0 pour la côte d' ivoire,Orange Money
416,3-0 pour la CIV.,Orange Money
417,3-1 pour la côte d'ivoire.,Orange Money
418,Du lourd,Orange Money
419,Je m'en vais là-bas comme ça eehhh,Orange Money
420,"Omb Onebeat
il est doux a écouter heinn on dirait eau minérale dans gorge lol",Orange Money
421,"Orange monney votre système de sécurité n'est pas du tout fiable, je me suis faite arnaquer plus de 300.000f. Te font un dépôt et après ils retirent avec tout ce que j'avais avant. Comment est-ce possible je veux des explications",Orange Money
422,Mon fils booba,Orange Money
423,Pour le moment c'est chetté on kiff,Orange Money
424,"Objet : Réclamation concernant une panne prolongée de connexion internet à Koumassi Remblais
Bonjour Orange Côte d’Ivoire,
Je me permets de vous adresser ce message suite à une panne de connexion internet survenue à mon domicile, situé à Koumassi Remblais, au carrefour Ibo.
Malgré plusieurs signalements via vos services en ligne, le problème persiste à ce jour.
Nous avons tenté à plusieurs reprises de joindre votre service client, ce qui s’est avéré particulièrement difficile : chaque appel nécessite près de 20 minutes d’attente avant d’avoir un conseiller en ligne.
Nous avons effectué un premier appel le mardi, un second le mercredi, et un dernier le vendredi.
À chaque fois, nous avons eu des interlocuteurs différents, et nous avons reçu des SMS de confirmation nous indiquant que nos réclamations avaient bien été prises en compte, avec des références fournies.
Cependant, malgré ces confirmations, aucune équipe technique ne nous a contactés, et personne ne s’est déplacé à notre domicile.
Plus de 72, voire 96 heures après le début de la panne, notre box ne fournit toujours aucune connexion.
Pourtant, un SMS de vos services nous informe que le problème a été “résolu”, ce qui est manifestement inexact.
Nous sommes très déçus de la qualité de prise en charge et du suivi technique de ce genre d’incident.
Une réorganisation ou une amélioration du service après-vente serait souhaitable afin de mieux répondre aux attentes de vos clients. La relation client/prestataire mérite plus de sérieux et d’efficacité.
Je reste joignable aux numéros suivants pour toute information complémentaire ou intervention :
07 02 59 61 25
Dans l’attente d’une réponse rapide et d’une résolution effective de ce problème,
Cordialement,",Orange Money
425,Cc commence,Orange Money
426,"Ce n'est pas sérieux ce que vous faites , j'ai fais un abonnement mensuel mais chaque fois il 'y a pas connexion, ça s'est produit le mois dernier et actuellement depuis hier nous n'avons pas de connexion il faut encore acheter de pass or à la fin du mois on va payer c'est méchant",Orange Money
427,Sérieux Nifa est fort hum,Orange Money
428,J’encaisse j’encaisse,Orange Money
429,Orange money toujours,Orange Money
430,Vous avez quel problème même ???????,Orange Money
431,Bonjour orange,Orange Money
432,"Voici plus de 4 jours que je n’arrive pas à joindre vos services pour dépanner ma fibre.
J’ai Tout essayé 0707, 0909 , le site et même passer par l’application maxit. Sur lappli On me répond que ma réclamation est déjà traitée.
c’est la deuxième fois en moins d’une semaine. La première fois juste après mon reabonnement et ça durer une semaine. Et vous en compensez pas les jours perdu
Ok ok .
J’attend votre appel quand mon abonnement arrivera à échéance comme d’hab.",Orange Money
433,"Vous êtes très faux, essayez d'améliorer le service de réclamation, par erreur j'ai envoyé 100k à quelqu'un j'ai fais une réclamation maintenant plus de 2 semaines l'argent n'es toujours pas retourné.",Orange Money
434,"Orange Money, je viens d'effectuer l'inscription en ligne de ma petite sœur et j'ai été facturé 10000f au lieu de 6000f j'ai appelé le service client et jusqu'à là rien.....",Orange Money
435,C'est dû lourd wep suis dedans comme ça,Orange Money
436,"J'ai créé un coffre fort en fin juillet et tout récemment; vendredi dernier pour être plus précis, j'ai rallongé la date de l'échéance pour fin septembre. J'y ai déposé 500f ! Aujourd'hui je reviens pour déposer de l'argent dans mon coffre Maxit m'informe que je n'ai pas de coffre fort. S'il vous plaît Orange vous n'avez pas idée de ce que je peux faire à cause de ces 500f donc je veux revoir mon coffre fort à sa place à la fin de cette journée.
Et de grâce ne me parlé pas de votre service client qui ne s'intéresse qu'aux note qu'on va leurs attribuer à la fin des appels. À chaque fois que j'appelle le service client ils font tous sauf résoudre mon problème merci",Orange Money
437,"Orange Money
le dernier jeux de 50milles sans like j'ai gagné c'est comment parce que ça fait une semaine bientôt",Orange Money
438,"Mon petit styliste du Dokui , très talentueux",Orange Money
439,"Moi je veux commander la cubaine que tu portes
Très très bonne continuation avec tes clients et surtout avec orange monnaie",Orange Money
440,Très class !!,Orange Money
441,Braaaaavooooooooooooo,Orange Money
442,Dosa style le meilleur,Orange Money
443,"Bravo mon fils, force à toi, je te sais courageux et perfectionniste. Par la grâce de Dieu on te comptera bientôt parmi les meilleurs couturiers, modéliste en Côte d'ivoire.",Orange Money
444,"C’est toujours bien fait!
Bcp de courage pour la suite",Orange Money
445,Tu es fort mon fils,Orange Money
446,"PDG de Dossa style s'il vous plaît
Il fait de très belles créations hein n'hésitez surtout pas",Orange Money
447,Un très grand styliste retenez son nom,Orange Money
448,Bravo fiston..on est avec toi,Orange Money
449,Un grand styliste,Orange Money
450,Force a toi ' très fort dans son domaine,Orange Money
451,Retenez ce nom !! Travaille soigne respecte de la parole donnée et surtout avec le sourire,Orange Money
452,Mon petit frère heinn,Orange Money
453,"Petit à petit L’oiseau fait son nid
vraiment fière mon frerot",Orange Money
454,La vie est vraiment simple avec orange money,Orange Money
455,Bravo bravo bravo mon fils bisous que dieu te bénisse,Orange Money
456,Félicitations à toi mon grand frère chéri que j'aime beaucoup.,Orange Money
457,"Force à toi bro
Ce n’est que le début",Orange Money
458,La qualité de ses pièces,Orange Money
459,Mon styliste préféré,Orange Money
460,Même suspect 95 a validé les chemises de Dossa style,Orange Money
461,Courage bro,Orange Money
462,Bravo fils !! Tous mes félicitations et encouragements..,Orange Money
463,Ne négligez pas les chemises de mon gars hein ça sort fort même !,Orange Money
464,Dossa style,Orange Money
465,"Objet : Usurpation d'identité et ouverture frauduleuse de compte Orange Bank
Bonjour Orange,
Je viens par ce message vous signaler une situation grave qui m’est arrivée aujourd’hui.
En voulant créer mon compte Orange Bank, j’ai été redirigé vers une agence. Une fois sur place, une conseillère a entamé le processus et m’a demandé de lire un message reçu sur mon téléphone. À ma grande surprise, ce message concernait un compte déjà existant à mon nom, que je n’ai jamais créé.
Après vérification, elle m’a informé que cinq numéros de téléphone sont enregistrés à mon nom, alors que je n’ai acquis que deux cartes SIM, dans l’agence Orange de Gonzagueville, précisément au carrefour Motard.
Le plus inquiétant, c’est que l’un de ces numéros inconnus a été utilisé pour ouvrir un compte Orange Bank, avec un prêt de 33 000 FCFA contracté à mon insu, en utilisant mes informations personnelles.
Je tiens à préciser que je n’ai jamais acheté de carte SIM en dehors de votre agence.",Orange Money
466,J’apprécie surtout la qualité des finitions. Merci,Orange Money
467,Toujours efficace,Orange Money
468,"Très bon tailleur, tous mes encouragements",Orange Money
469,"Très fier de toi mon style
Touré Juju",Orange Money
470,Toutes mes admirations,Orange Money
471,Dossa à vie,Orange Money
472,"Touré Juju
C'est bien fait bro",Orange Money
473,"Lorsque le travail est bien fait, on ne peut que être fier.
Touré Juju
DOSSA_style",Orange Money
474,Nous étions là depuis le début et c’est une grande fierté. Allahou n’a pas encore fini,Orange Money
475,Mon styliste fort,Orange Money
476,"Chaque détail compte
Toujours Dossa style",Orange Money
477,Mon styliste,Orange Money
478,"Touré Juju
Wow
! Je me souviens encore de tes débuts, quand tu faisais tes premières créations avec passion et détermination. Aujourd’hui, voir tout ce que tu as accompli me rend vraiment fier de toi
. Continue de briller, tu es une vraie source d’inspiration
!",Orange Money
479,"Force à toi tu as tout mon soutien
Prosperihno",Orange Money
480,"Mes félicitations mon petit, je suis fière de toi. Qu’Allah t’assiste",Orange Money
481,Bravo! Trop fière de toi!!,Orange Money
482,Bravo,Orange Money
483,"Himra
, voilà ton son en fond sonore Huin le chetté",Orange Money
484,Ah c'est super sa je passe ma commande alors,Orange Money
485,Mon fils tu es en tatiana,Orange Money
486,Courage,Orange Money
487,Dossa style et Orange money top,Orange Money
488,Force à toi,Orange Money
489,"Avec Dossa Style, il n'y a que la qualité
. Tout est dans les détails",Orange Money
490,Force à toi bro,Orange Money
491,Dossa Style,Orange Money
492,Toujours bien fait avec Dossa Style,Orange Money
493,"Pourtant son modèle c’est
Didi B
heun
Eh bayo",Orange Money
494,Bravooo,Orange Money
495,Je te souhaite toujours le meilleur,Orange Money
496,Très très fort je confirme,Orange Money
497,Bravo frerot,Orange Money
498,Faut reconnaître qu’il est très très très très honnête franchement. On te souhaite le meilleur frère. Le travail bien fait avec honnêteté paie toujours. Bon vent à toi et ta marque.,Orange Money
499,Dossa style la référence.,Orange Money
500,Une nouvelle étape. Felicitations boss,Orange Money
501,Braaavo. Très belle finition surtout. J'adore tes chemises,Orange Money
502,"Je viens d'effectuer un retrait ce jeudi matin à 8h et jusqu'à présent rien reçu
Orange Money",Orange Money
503,C'est trop cool merci a orange,Orange Money
504,"j'ai effectué un retrait depuis la semaine dernière
Orange
ne m'a pas encore envoyé les frais de retrait comme promis jusqu'à présent comme promis, malgré mes relances
CAS-36726645-W8V7C3",Orange Money
505,J'ai pensé vous allé dire remboursement des data coupé,Orange Money
506,Ce matin j'ai fait un retrait j'ai pas reçu les frais,Orange Money
507,"C'est Dohi j'ai retiré 1 millions j'ai pas été rembourse après avoir fait un autre retrait de 13 mille Ils m'ont rembourser 130 Franc
Orange Money",Orange Money
508,"Orange Money
ça fait plus d'une année maintenant j'attends votre approbation pour changer de profil et déplafonné mon compte. Malheureusement pour moi cela fait plusieurs temps que j'attends, ont me dit que c'est en cours. Pour ce raison je pas trop la possibilité de faire des transactions avec mon numéro.",Orange Money
509,Dohi Bala,Orange Money
510,C'est zooo,Orange Money
511,+454 c'est orange forcément ya longtemps j'ai pas reçu de dépôt innnh,Orange Money
512,"Sara Nancy
Je pense à vous également
..",Orange Money
513,"Je pense à
Orange Money
hein",Orange Money
514,"Bonsoir,
Orange
Cela fait maintenant trois semaines que je n’ai plus de connexion sur ma box fibre. Vos conseillers m’ont contacté, mais le problème persiste. J’ai déjà payé mon abonnement deux fois et si la situation continue ainsi, je serai contraint de résilier la box et de passer à un autre réseau.",Orange Money
515,"Orange Côte d’Ivoire je ne comprends plus rien le forfait 300 f / 300 mo n’existe pratiquement pas ou est inefficace. A peine la moitié d’une vidéo de 15 min regarder sur YouTube , je me retrouve à 50 et de surcroît ne passe plus , la vidéo en question…. je souscris encore , à peine vérifié mes messages sur watts, je me retrouve avec 9mo , c’est pas nous tous qui pouvons acheter champagne
1 million dans bar hein pr venir souscrire 10000 internet
on a assez de problèmes donc revoyez la qualité de vos forfaits, maintenant c’est abusé. Merci",Orange Money
